Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,% Price Change Today,Equity Summary Score from StarMine from Refinitiv
IKT,Inhibikase Therapeutics Inc,Common Stock,2.27,Health Care,Biotechnology,Biotechnology,$54.79M,4.12844,
NGENF,Nervgen Pharma Corp,Common Stock,1.36,Health Care,Pharmaceuticals,Pharmaceuticals,$54.80M,-2.85714,
BIOC,Biocept Inc,Common Stock,4.16,Health Care,Biotechnology,Biotechnology,$54.95M,1.46341,
ARDS,Aridis Pharmaceuticals Inc,Common Stock,5.04,Health Care,Biotechnology,Biotechnology,$55.04M,2.85714,
SKYE,Skye Bioscience Inc,Common Stock,0.15,Health Care,Biotechnology,Biotechnology,$55.61M,0.33445,
UPC,Universe Pharmaceuticals Inc,Common Stock,2.4,Health Care,Pharmaceuticals,Pharmaceuticals,$55.90M,-6.61479,
HERTF,Heritage Cannabis Holdings Corp,Common Stock,0.07,Health Care,Pharmaceuticals,Pharmaceuticals,$56.38M,-2.77778,
NNVC,NanoViricides Inc,Common Stock,4.57,Health Care,Biotechnology,Biotechnology,$56.60M,-7.11382,
AUSAF,Australis Capital Inc,Common Stock,0.2097,Health Care,Pharmaceuticals,Pharmaceuticals,$56.61M,-0.61611,
CLRB,Cellectar Biosciences Inc,Common Stock,1.12,Health Care,Biotechnology,Biotechnology,$56.94M,3.7037,
HUGE,FSD Pharma Inc,Common Stock,1.71,Health Care,Pharmaceuticals,Pharmaceuticals,$58.67M,4.90798,
CLCS,Cell Source Inc,Common Stock,1.8,Health Care,Biotechnology,Biotechnology,$58.79M,,
ADXS,Advaxis Inc,Common Stock,0.43,Health Care,Biotechnology,Biotechnology,$60.03M,4.31829,
ALIM,Alimera Sciences Inc,Common Stock,8.62,Health Care,Pharmaceuticals,Pharmaceuticals,$60.08M,-1.0333,Bearish
GLMD,Galmed Pharmaceuticals Ltd,Common Stock,2.46,Health Care,Biotechnology,Biotechnology,$60.45M,2.07469,
MBXBF,Microbix Biosystems Inc,Common Stock,0.49665,Health Care,Biotechnology,Biotechnology,$60.84M,1.15071,
OTLC,Oncotelic Therapeutics Inc,Common Stock,0.1739,Health Care,Biotechnology,Biotechnology,$61.41M,4.69597,
FLOOF,Flower One Holdings Inc,Common Stock,0.1486,Health Care,Pharmaceuticals,Pharmaceuticals,$61.42M,-2.87582,
DMAC,DiaMedica Therapeutics Inc,Common Stock,3.46,Health Care,Biotechnology,Biotechnology,$61.43M,5.8104,
CYAD,Celyad Oncology SA,Depository Receipt,4.19,Health Care,Biotechnology,Biotechnology,$61.48M,-4.98866,
STMH,Stem Holdings Inc,Common Stock,0.2864,Health Care,Pharmaceuticals,Pharmaceuticals,$61.70M,2.28571,
HCANF,Halo Collective Inc,Common Stock,0.034,Health Care,Pharmaceuticals,Pharmaceuticals,$62.25M,3.65854,
RVPH,Reviva Pharmaceuticals Holdings Inc,Common Stock,3.67,Health Care,Pharmaceuticals,Pharmaceuticals,$62.55M,1.10193,
AKTX,Akari Therapeutics Plc,Depository Receipt,1.63,Health Care,Pharmaceuticals,Pharmaceuticals,$63.04M,2.51572,
LUMO,Lumos Pharma Inc,Common Stock,7.59,Health Care,Biotechnology,Biotechnology,$63.34M,0,
UNRV,Unrivaled Brands Inc,Common Stock,0.27224,Health Care,Pharmaceuticals,Pharmaceuticals,$63.38M,0.45756,
PHGE/U,BiomX Inc,Unit Trust Fund,7.3401,Health Care,Biotechnology,Biotechnology,$64.23M,,
ALNA,Allena Pharmaceuticals Inc,Common Stock,0.9999,Health Care,Biotechnology,Biotechnology,$65.08M,14.14384,Bullish
EDSA,Edesa Biotech Inc,Common Stock,5,Health Care,Biotechnology,Biotechnology,$65.22M,1.62602,
ACHV,Achieve Life Sciences Inc,Common Stock,7.33,Health Care,Biotechnology,Biotechnology,$65.30M,1.10345,
PTE,PolarityTE Inc,Common Stock,0.8678,Health Care,Biotechnology,Biotechnology,$65.36M,7.0565,
MNPR,Monopar Therapeutics Inc,Common Stock,5.3,Health Care,Biotechnology,Biotechnology,$65.55M,1.62991,
VCNX,Vaccinex Inc,Common Stock,2.49,Health Care,Biotechnology,Biotechnology,$66.01M,7.32759,
ONVO,Organovo Holdings Inc,Common Stock,8.16,Health Care,Biotechnology,Biotechnology,$66.10M,7.36842,
NRBO,NeuroBo Pharmaceuticals Inc,Common Stock,3.12,Health Care,Biotechnology,Biotechnology,$66.19M,5.05051,
SYN,Synthetic Biologics Inc,Common Stock,0.5116,Health Care,Biotechnology,Biotechnology,$66.81M,1.10672,
BCTX,BriaCell Therapeutics Corp,Common Stock,4.93,Health Care,Biotechnology,Biotechnology,$67.65M,11.28668,
ADXN,Addex Therapeutics Ltd,Depository Receipt,9.0001,Health Care,Biotechnology,Biotechnology,$69.37M,-5.75812,
CWBR,Cohbar Inc,Common Stock,1.12,Health Care,Biotechnology,Biotechnology,$70.44M,-1.75439,
OPNT,Opiant Pharmaceuticals Inc,Common Stock,15.035,Health Care,Pharmaceuticals,Pharmaceuticals,$70.47M,-7.59066,
PLX,Protalix Biotherapeutics Inc,Common Stock,1.62,Health Care,Biotechnology,Biotechnology,$70.61M,4.51613,
SLNO,Soleno Therapeutics Inc,Common Stock,0.9207,Health Care,Biotechnology,Biotechnology,$71.44M,2.79111,Very Bearish
LIFE,aTyr Pharma Inc,Common Stock,4.58,Health Care,Biotechnology,Biotechnology,$71.49M,2.92135,
LOWLF,Lowell Farms Inc,Common Stock,1.21,Health Care,Pharmaceuticals,Pharmaceuticals,$71.54M,14.15094,
SCPS,Scopus BioPharma Inc,Common Stock,4.73,Health Care,Biotechnology,Biotechnology,$71.56M,3.95604,
CDTX,Cidara Therapeutics Inc,Common Stock,1.52,Health Care,Biotechnology,Biotechnology,$72.44M,1.33333,
TCON,TRACON Pharmaceuticals Inc,Common Stock,3.83,Health Care,Biotechnology,Biotechnology,$73.36M,1.32275,
MTCR,Metacrine Inc,Common Stock,2.96,Health Care,Biotechnology,Biotechnology,$75.83M,3.13589,
ICCC,ImmuCell Corp,Common Stock,10.0849,Health Care,Biotechnology,Biotechnology,$75.85M,2.85467,
AIKI,Alkido Pharma Inc,Common Stock,0.8834,Health Care,Biotechnology,Biotechnology,$76.46M,3.44262,
MITO,Stealth BioTherapeutics Corp,Depository Receipt,1.36,Health Care,Biotechnology,Biotechnology,$77.01M,0.74074,
CBLI,Cleveland BioLabs Inc,Common Stock,4.99,Health Care,Biotechnology,Biotechnology,$77.19M,,
TBPMF,Tetra Bio-Pharma Inc,Common Stock,0.2029,Health Care,Pharmaceuticals,Pharmaceuticals,$78.26M,4.10467,
ONTX,Onconova Therapeutics Inc,Common Stock,5.29,Health Care,Pharmaceuticals,Pharmaceuticals,$78.91M,5.8,
INTI,Inhibitor Therapeutics Inc,Common Stock,0.22,Health Care,Biotechnology,Biotechnology,$78.97M,4.71204,
NERV,Minerva Neurosciences Inc,Common Stock,1.91,Health Care,Biotechnology,Biotechnology,$79.04M,3.24324,
REPH,Recro Pharma Inc,Common Stock,1.79,Health Care,Pharmaceuticals,Pharmaceuticals,$79.82M,-0.55556,Very Bearish
CLBS,Caladrius Biosciences Inc,Common Stock,1.36,Health Care,Biotechnology,Biotechnology,$80.32M,0.74074,
CRVS,Corvus Pharmaceuticals Inc,Common Stock,2.18,Health Care,Biotechnology,Biotechnology,$80.45M,3.80952,Bearish
LPTX,Leap Therapeutics Inc,Common Stock,1.41,Health Care,Biotechnology,Biotechnology,$80.56M,4.44444,Bearish
APVO,Aptevo Therapeutics Inc,Common Stock,19.39,Health Care,Biotechnology,Biotechnology,$81.35M,6.07221,
TLSA,Tiziana Life Sciences PLC,Depository Receipt,2.01,Health Care,Biotechnology,Biotechnology,$81.35M,-3.82775,
LYRA,Lyra Therapeutics Inc,Common Stock,6.63,Health Care,Pharmaceuticals,Pharmaceuticals,$81.65M,5.57325,
MACK,Merrimack Pharmaceuticals Inc,Common Stock,6.39,Health Care,Biotechnology,Biotechnology,$82.61M,3.73377,
VYNT,Vyant Bio Inc,Common Stock,2.98,Health Care,Biotechnology,Biotechnology,$82.61M,4.5614,
RZLT,Rezolute Inc,Common Stock,10.28,Health Care,Biotechnology,Biotechnology,$82.89M,3.57683,
CANSF,Willow Biosciences Inc,Common Stock,0.69754,Health Care,Biotechnology,Biotechnology,$83.21M,3.55404,
DBCCF,Decibel Cannabis Co Inc,Common Stock,0.2447,Health Care,Pharmaceuticals,Pharmaceuticals,$83.40M,2.47069,
ALID,Allied Corp,Common Stock,1.03,Health Care,Pharmaceuticals,Pharmaceuticals,$83.52M,-0.96154,
OPGN,OpGen Inc,Common Stock,2.25,Health Care,Biotechnology,Biotechnology,$84.19M,2.27273,
ONCS,OncoSec Medical Inc,Common Stock,2.36,Health Care,Biotechnology,Biotechnology,$84.25M,9.76744,Bearish
SLGWF,Slang Worldwide Inc,Common Stock,0.1836,Health Care,Pharmaceuticals,Pharmaceuticals,$84.60M,8.63905,
ARAV,Aravive Inc,Common Stock,4.34,Health Care,Biotechnology,Biotechnology,$85.13M,5.59611,
LMNL,Liminal BioSciences Inc,Common Stock,2.93,Health Care,Biotechnology,Biotechnology,$85.34M,2.80702,
GRYN,Green Hygienics Holdings Inc,Common Stock,1.9,Health Care,Pharmaceuticals,Pharmaceuticals,$85.60M,-2.06186,
PPBT,Purple Biotech Ltd,Depository Receipt,4.94,Health Care,Pharmaceuticals,Pharmaceuticals,$85.79M,1.43737,
GRAY,Graybug Vision Inc,Common Stock,4.24,Health Care,Pharmaceuticals,Pharmaceuticals,$86.54M,3.16302,
MEDIF,Medipharm Labs Corp,Common Stock,0.33736,Health Care,Pharmaceuticals,Pharmaceuticals,$86.71M,2.54103,
TARA,Protara Therapeutics Inc,Common Stock,8.11,Health Care,Biotechnology,Biotechnology,$87.02M,4.64516,
AZYO,Aziyo Biologics Inc,Common Stock,8.14,Health Care,Biotechnology,Biotechnology,$87.45M,-4.79532,
APM,Aptorum Group Ltd,Common Stock,2.615,Health Care,Biotechnology,Biotechnology,$87.93M,1.75097,
YMTX,Yumanity Therapeutics Inc,Common Stock,9.13,Health Care,Biotechnology,Biotechnology,$88.15M,5.6713,
ELDN,Eledon Pharmaceuticals Inc,Common Stock,6.24,Health Care,Biotechnology,Biotechnology,$88.42M,0.97087,
CRTPF,Cardiol Therapeutics Inc,Common Stock,2.07,Health Care,Pharmaceuticals,Pharmaceuticals,$89.37M,-0.52859,
CLSN,Celsion Corp,Common Stock,1.06,Health Care,Biotechnology,Biotechnology,$90.02M,1.92308,
MBRX,Moleculin Biotech Inc,Common Stock,3.19,Health Care,Biotechnology,Biotechnology,$90.17M,0.63091,
APRE,Aprea Therapeutics Inc,Common Stock,4.51,Health Care,Biotechnology,Biotechnology,$90.26M,5.86854,
AEZS,AEterna Zentaris Inc,Common Stock,0.7748,Health Care,Biotechnology,Biotechnology,$91.73M,2.33787,
ERYP,Erytech Pharma SA,Depository Receipt,4.235,Health Care,Biotechnology,Biotechnology,$92.25M,-7.93478,
ALRN,Aileron Therapeutics Inc,Common Stock,1.03,Health Care,Biotechnology,Biotechnology,$93.04M,0,
CNTMF,Cansortium Inc,Common Stock,0.84,Health Care,Pharmaceuticals,Pharmaceuticals,$93.32M,2.43902,
AIM,Aim Immunotech Inc,Common Stock,2,Health Care,Biotechnology,Biotechnology,$94.71M,1.0101,
ACST,Acasti Pharma Inc,Common Stock,0.4657,Health Care,Pharmaceuticals,Pharmaceuticals,$95.31M,1.8146,
ARMP,Armata Pharmaceuticals Inc,Common Stock,3.85,Health Care,Biotechnology,Biotechnology,$96.89M,-0.9009,
OGEN,Oragenics Inc,Common Stock,0.7924,Health Care,Biotechnology,Biotechnology,$97.00M,-5.53171,
XPHYF,XPhyto Therapeutics Corp,Common Stock,1.4192,Health Care,Pharmaceuticals,Pharmaceuticals,$97.20M,1.37143,
SHWZ,Medicine Man Technologies Inc,Common Stock,2.38,Health Care,Pharmaceuticals,Pharmaceuticals,$97.36M,3.47826,
AVTBF,Avant Brands Inc,Common Stock,0.5,Health Care,Pharmaceuticals,Pharmaceuticals,$97.72M,2.04082,
BPTS,Biophytis SA,Depository Receipt,8.6,Health Care,Biotechnology,Biotechnology,$97.91M,,
ISR,IsoRay Inc,Common Stock,0.7061,Health Care,Biotechnology,Biotechnology,$98.26M,1.65563,
ARPO,Aerpio Pharmaceuticals Inc,Common Stock,2.16,Health Care,Pharmaceuticals,Pharmaceuticals,$98.28M,4.34783,
GANX,Gain Therapeutics Inc,Common Stock,8.3,Health Care,Biotechnology,Biotechnology,$98.58M,0,
OTIC,Otonomy Inc,Common Stock,1.75,Health Care,Pharmaceuticals,Pharmaceuticals,$99.08M,0,Very Bearish
LJPC,La Jolla Pharmaceutical Co,Common Stock,3.74,Health Care,Biotechnology,Biotechnology,$99.17M,3.60111,Very Bearish
PCSA,Processa Pharmaceuticals Inc,Common Stock,6.36,Health Care,Pharmaceuticals,Pharmaceuticals,$100.74M,-2.00308,
ETTX,Entasis Therapeutics Holdings Inc,Common Stock,2.38,Health Care,Biotechnology,Biotechnology,$100.89M,2.80778,
FSTX,F-star Therapeutics Inc,Common Stock,5.3,Health Care,Biotechnology,Biotechnology,$102.45M,0.18904,
FWP,Forward Pharma A/S,Depository Receipt,14.33,Health Care,Biotechnology,Biotechnology,$102.48M,-3.63147,
PSTI,Pluristem Therapeutics Inc,Common Stock,3.41,Health Care,Biotechnology,Biotechnology,$102.84M,5.24691,Bearish
NYMX,Nymox Pharmaceutical Corp,Common Stock,1.54,Health Care,Biotechnology,Biotechnology,$103.11M,17.55725,
AGRX,Agile Therapeutics Inc,Common Stock,1.21,Health Care,Pharmaceuticals,Pharmaceuticals,$103.23M,9.00901,
AYTU,Aytu BioPharma Inc,Common Stock,4.14,Health Care,Pharmaceuticals,Pharmaceuticals,$103.45M,0.72993,
GLYC,GlycoMimetics Inc,Common Stock,2.05,Health Care,Biotechnology,Biotechnology,$104.11M,1.48515,Neutral
PRPH,ProPhase Labs Inc,Common Stock,7.35,Health Care,Pharmaceuticals,Pharmaceuticals,$105.02M,6.06061,
CNCE,Concert Pharmaceuticals Inc,Common Stock,3.46,Health Care,Biotechnology,Biotechnology,$105.53M,5.4878,Bearish
EVAX,Evaxion Biotech A/S,Depository Receipt,5.45,Health Care,Biotechnology,Biotechnology,$105.59M,-0.90909,
AXIM,AXIM Biotechnologies Inc,Common Stock,0.755,Health Care,Pharmaceuticals,Pharmaceuticals,$105.67M,-7.92683,
CAPR,Capricor Therapeutics Inc,Common Stock,4.78,Health Care,Biotechnology,Biotechnology,$106.15M,3.01724,
ROMJF,Rubicon Organics Inc,Common Stock,1.99,Health Care,Pharmaceuticals,Pharmaceuticals,$106.72M,3.64583,
GLTO,Galecto Inc,Common Stock,4.46,Health Care,Biotechnology,Biotechnology,$107.11M,5.18868,
DYAI,Dyadic International Inc,Common Stock,3.4,Health Care,Biotechnology,Biotechnology,$107.19M,-12.5964,
COCP,Cocrystal Pharma Inc,Common Stock,1.1,Health Care,Pharmaceuticals,Pharmaceuticals,$107.22M,0,
IFRX,InflaRx NV,Common Stock,2.55,Health Care,Biotechnology,Biotechnology,$108.72M,2.82258,
NCNA,NuCana Plc,Depository Receipt,2.11,Health Care,Biotechnology,Biotechnology,$110.06M,0,
CMPI,Checkmate Pharmaceuticals Inc,Common Stock,5.09,Health Care,Biotechnology,Biotechnology,$110.29M,-0.19608,
GNCA,Genocea Biosciences Inc,Common Stock,2.03,Health Care,Biotechnology,Biotechnology,$110.50M,0,
NBSE,NeuBase Therapeutics Inc,Common Stock,3.54,Health Care,Biotechnology,Biotechnology,$111.24M,4.11765,
MDWD,MediWound Ltd,Common Stock,3.99,Health Care,Pharmaceuticals,Pharmaceuticals,$111.70M,-2.68293,Very Bearish
EYEN,Eyenovia Inc,Common Stock,4.37,Health Care,Pharmaceuticals,Pharmaceuticals,$111.96M,0.92379,
KZIA,Kazia Therapeutics Ltd,Depository Receipt,9.14,Health Care,Biotechnology,Biotechnology,$112.29M,2.69663,
LGVN,Longeveron INC,Common Stock,6.14,Health Care,Biotechnology,Biotechnology,$112.39M,3.71622,
RGC,Regencell Bioscience Holding Ltd,Common Stock,9.11,Health Care,Pharmaceuticals,Pharmaceuticals,$113.78M,1.22222,
EVGN,Evogene Ltd,Common Stock,2.94,Health Care,Biotechnology,Biotechnology,$113.97M,4.25532,
MEDXF,Medexus Pharmaceuticals Inc,Common Stock,6.03,Health Care,Pharmaceuticals,Pharmaceuticals,$114.87M,0.66778,
PTN,Palatin Technologies Inc.,Common Stock,0.514,Health Care,Biotechnology,Biotechnology,$115.05M,2.77944,
VYGR,Voyager Therapeutics Inc,Common Stock,3.23,Health Care,Biotechnology,Biotechnology,$116.20M,4.87013,
NXGWF,Next Green Wave Holdings Inc,Common Stock,0.62475,Health Care,Pharmaceuticals,Pharmaceuticals,$116.22M,-0.54919,
LPCN,Lipocine Inc,Common Stock,1.34,Health Care,Pharmaceuticals,Pharmaceuticals,$116.54M,1.51515,
SLHG,Skylight Health Group Inc,Common Stock,3.29,Health Care,Pharmaceuticals,Pharmaceuticals,$116.67M,1.85759,
ORGS,Orgenesis Inc,Common Stock,4.99,Health Care,Biotechnology,Biotechnology,$117.01M,4.39331,
VBLT,Vascular Biogenics Ltd,Common Stock,2.02,Health Care,Biotechnology,Biotechnology,$117.34M,-5.16432,
LOVFF,Cannara Biotech Inc,Common Stock,0.1404,Health Care,Pharmaceuticals,Pharmaceuticals,$117.89M,4.38662,
HEPA,Hepion Pharmaceuticals Inc,Common Stock,1.56,Health Care,Pharmaceuticals,Pharmaceuticals,$118.15M,0.64516,
ELOX,Eloxx Pharmaceuticals Inc,Common Stock,1.39,Health Care,Pharmaceuticals,Pharmaceuticals,$118.88M,0.72464,
XCUR,Exicure Inc,Common Stock,1.39,Health Care,Biotechnology,Biotechnology,$119.67M,2.20588,
BCLI,Brainstorm Cell Therapeutics,Common Stock,3.57,Health Care,Biotechnology,Biotechnology,$120.94M,7.20721,
IMV,IMV Inc,Common Stock,1.74,Health Care,Biotechnology,Biotechnology,$122.03M,-3.33333,
ENTX,Entera Bio Ltd,Common Stock,5.21,Health Care,Biotechnology,Biotechnology,$122.21M,1.36187,
GDNSF,Goodness Growth Holdings Inc,Common Stock,1.585,Health Care,Pharmaceuticals,Pharmaceuticals,$122.85M,-0.31447,
ONCY,Oncolytics Biotech Inc,Common Stock,2.4,Health Care,Biotechnology,Biotechnology,$123.48M,2.5641,
AQST,Aquestive Therapeutics Inc,Common Stock,3.51,Health Care,Pharmaceuticals,Pharmaceuticals,$123.68M,3.84615,
LQDA,Liquidia Corp,Common Stock,2.45,Health Care,Pharmaceuticals,Pharmaceuticals,$123.70M,2.94118,
ABEO,Abeona Therapeutics Inc,Common Stock,1.28,Health Care,Biotechnology,Biotechnology,$123.77M,2.4,
EVFM,Evofem Biosciences Inc,Common Stock,0.8802,Health Care,Pharmaceuticals,Pharmaceuticals,$125.82M,5.12361,
AXLA,Axcella Health Inc,Common Stock,3.63,Health Care,Biotechnology,Biotechnology,$125.99M,8.68263,
TGODF,The Green Organic Dutchman Holdings Ltd,Common Stock,0.254,Health Care,Pharmaceuticals,Pharmaceuticals,$129.29M,3.74122,
CBIO,Catalyst Biosciences Inc,Common Stock,4.32,Health Care,Biotechnology,Biotechnology,$129.79M,4.34783,
IPIX,Innovation Pharmaceuticals Inc,Common Stock,0.315,Health Care,Biotechnology,Biotechnology,$130.14M,5,
RVVTF,Revive Therapeutics Ltd,Common Stock,0.4121,Health Care,Pharmaceuticals,Pharmaceuticals,$130.64M,-2.70793,
ODT,Odonate Therapeutics Inc,Common Stock,3.43,Health Care,Pharmaceuticals,Pharmaceuticals,$130.92M,0.88235,Bearish
CYCN,Cyclerion Therapeutics Inc,Common Stock,3.36,Health Care,Biotechnology,Biotechnology,$130.96M,3.7037,
ETON,Eton Pharmaceuticals Inc,Common Stock,5.53,Health Care,Pharmaceuticals,Pharmaceuticals,$132.10M,2.5974,
ITRM,Iterum Therapeutics plc,Common Stock,0.7438,Health Care,Pharmaceuticals,Pharmaceuticals,$132.74M,0.37787,
MDNA,Medicenna Therapeutics Corp,Common Stock,2.53,Health Care,Biotechnology,Biotechnology,$133.22M,2.01613,
PYPD,PolyPid Ltd,Common Stock,7.24,Health Care,Pharmaceuticals,Pharmaceuticals,$133.84M,1.40056,
ANIX,Anixa Biosciences Inc,Common Stock,4.81,Health Care,Biotechnology,Biotechnology,$134.48M,7.12695,
INFI,Infinity Pharmaceuticals Inc,Common Stock,2.45,Health Care,Biotechnology,Biotechnology,$134.74M,61.18421,Neutral
SLS,SELLAS Life Sciences Group Inc,Common Stock,8.81,Health Care,Biotechnology,Biotechnology,$134.93M,3.64706,
LOGC,LogicBio Therapeutics Inc,Common Stock,4.23,Health Care,Biotechnology,Biotechnology,$135.07M,0.71429,
PHGE,BiomX Inc,Common Stock,4.67,Health Care,Biotechnology,Biotechnology,$135.62M,-2.9106,
CLXT,Calyxt Inc,Common Stock,3.78,Health Care,Biotechnology,Biotechnology,$135.78M,3.56164,Very Bearish
